model_shape_name,simulation_level,backend_variant,timing_scope,weight_source,checkpoint_dir,checkpoint_block_index,device,dtype,batch_size,seq_len,tokens,d_model,d_ff,n_experts,top_k,num_shared_experts,shared_expert_intermediate_size,expert_type,activation,bias_semantics,expert_bias_max_abs,mean_forward_ms,std_forward_ms,memory_preflight_enabled,memory_preflight_estimated_bytes,memory_preflight_base_estimated_bytes,memory_preflight_cuda_free_bytes,memory_preflight_cuda_total_bytes,memory_preflight_allowed_bytes,memory_preflight_fraction,memory_preflight_safety_multiplier,ms_per_input_token,assignments,router_flops,active_expert_flops_per_token,active_expert_tflops_per_second,tokens_per_second,ms_per_assignment,padding_factor,phase_profile,phase_path,phase_profile_warmup,phase_profile_iters,phase_sort_ms,phase_histogram_ms,phase_cumsum_ms,phase_capacity_decision_wall_ms,phase_gather_ms,phase_expert_mlp_ms,phase_scatter_ms,phase_gpu_sum_ms,phase_expert_capacity,moe_op_profile,moe_op_profile_scope,moe_op_profile_warmup,moe_op_profile_iters,moe_op_path,moe_op_expert_capacity,moe_op_router_projection_matmul_ms,moe_op_topk_selection_ms,moe_op_selected_softmax_gating_ms,moe_op_expert_block_dispatch_compute_combine_ms,moe_op_gate_multiply_combine_ms,moe_op_output_layout_to_nano_ms,moe_op_main_replay_sum_ms,moe_op_profile_note,tokens_per_expert_min,tokens_per_expert_max,tokens_per_expert_mean,tokens_per_expert_std,expert_imbalance,check_output,correctness_passed,outlier_abs_threshold,max_abs_vs_reference,mean_abs_vs_reference,max_rel_vs_reference,aux_loss_abs_diff,router_expert_set_mismatch_count,router_gate_max_abs,outlier_diagnosis,label
nano_moe_jax,exact_adapter,megablocks_dmoe,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,4,128,512,128,512,4,2,0,0,ffn,gelu_tanh,matched_expert_biases,0.043212890625,0.6992559909820557,0.004011201858520497,True,3728332,2761728,9893314560,10351935488,9398648832,0.95,1.35,0.0013657343573868276,1024,524288,524288,0.3838872451031865,732206.8121017199,0.0006828671786934138,1.0,,,,,,,,,,,,,,True,moe_layer_logical_replay,3,10,dmoe_grouped,0,0.017715199291706084,0.014028799533843995,0.005734400078654289,0.5234687805175782,0.08271359801292419,0.008387199789285659,0.5693343792110682,Independent diagnostic timings. expert_block is the whole MegaBlocks expert path; gate_multiply_combine is the weighted scatter/combine subset and is not additive with expert_block.,240,283,256.0,16.170961380004883,1.10546875,False,,,,,,,,,,nano_moe_jax_megablocks_dmoe_cuda_tok512_t128_bfloat16_trained_nano_checkpoint
nano_moe_jax,exact_adapter,megablocks_moe,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,4,128,512,128,512,4,2,0,0,ffn,gelu_tanh,matched_expert_biases,0.043212890625,0.5607679843902588,0.003968000411987305,True,3728332,2761728,9893314560,10351935488,9398648832,0.95,1.35,0.0010952499695122242,1024,524288,524288,0.47869254927575544,913033.5793986424,0.0005476249847561121,1.10546875,,,,,,,,,,,,,,True,moe_layer_logical_replay,3,10,standard_moe_binned,283,0.01727360039949417,0.013619199395179749,0.005529600009322166,0.38715519905090334,0.08284159898757934,0.008188799768686295,0.43176639862358573,Independent diagnostic timings. expert_block is the whole MegaBlocks expert path; gate_multiply_combine is the weighted scatter/combine subset and is not additive with expert_block.,240,283,256.0,16.170961380004883,1.10546875,False,,,,,,,,,,nano_moe_jax_megablocks_moe_cuda_tok512_t128_bfloat16_trained_nano_checkpoint
nano_moe_jax,exact_adapter,reference_dense_ffn,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,4,128,512,128,512,4,2,0,0,ffn,gelu_tanh,nano_expert_biases,0.043212890625,0.3296831965446472,0.0001088023185729925,True,5851699,4334592,9893314560,10351935488,9398648832,0.95,1.35,0.000643912493251264,1024,524288,524288,0.814222437823419,1553006.053587759,0.000321956246625632,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,nano_moe_jax_reference_cuda_tok512_t128_bfloat16_trained_nano_checkpoint
nano_moe_jax,exact_adapter,megablocks_dmoe,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,8,128,1024,128,512,4,2,0,0,ffn,gelu_tanh,matched_expert_biases,0.043212890625,0.699131178855896,0.0018975973129272128,True,6039705,4473856,9893314560,10351935488,9398648832,0.95,1.35,0.000682745291851461,2048,1048576,524288,0.7679115568534229,1464675.0580852947,0.0003413726459257305,1.0,,,,,,,,,,,,,,True,moe_layer_logical_replay,3,10,dmoe_grouped,0,0.01844799965620041,0.014336000382900237,0.0055103998631238936,0.5213183879852294,0.08069120049476623,0.008191999793052674,0.5678047876805066,Independent diagnostic timings. expert_block is the whole MegaBlocks expert path; gate_multiply_combine is the weighted scatter/combine subset and is not additive with expert_block.,495,545,512.0,20.211383819580078,1.064453125,False,,,,,,,,,,nano_moe_jax_megablocks_dmoe_cuda_tok1024_t128_bfloat16_trained_nano_checkpoint
nano_moe_jax,exact_adapter,megablocks_moe,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,8,128,1024,128,512,4,2,0,0,ffn,gelu_tanh,matched_expert_biases,0.043212890625,0.5658936023712158,0.0011447906494140292,True,6039705,4473856,9893314560,10351935488,9398648832,0.95,1.35,0.0005526304710656404,2048,1048576,524288,0.9487135209700119,1809527.4371528854,0.0002763152355328202,1.064453125,,,,,,,,,,,,,,True,moe_layer_logical_replay,3,10,standard_moe_binned,545,0.01935359984636307,0.014326399564743042,0.0057183999568223955,0.3955712080001831,0.08765439987182617,0.009011200070381165,0.4439808074384927,Independent diagnostic timings. expert_block is the whole MegaBlocks expert path; gate_multiply_combine is the weighted scatter/combine subset and is not additive with expert_block.,495,545,512.0,20.211383819580078,1.064453125,False,,,,,,,,,,nano_moe_jax_megablocks_moe_cuda_tok1024_t128_bfloat16_trained_nano_checkpoint
nano_moe_jax,exact_adapter,reference_dense_ffn,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,8,128,1024,128,512,4,2,0,0,ffn,gelu_tanh,nano_expert_biases,0.043212890625,0.32870399951934814,0.0007168054580688477,True,10286438,7619584,9893314560,10351935488,9398648832,0.95,1.35,0.0003209999995306134,2048,1048576,524288,1.6332959525440722,3115264.802063126,0.0001604999997653067,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,nano_moe_jax_reference_cuda_tok1024_t128_bfloat16_trained_nano_checkpoint
nano_moe_jax,exact_adapter,megablocks_dmoe,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,16,128,2048,128,512,4,2,0,0,ffn,gelu_tanh,matched_expert_biases,0.043212890625,0.6942183971405029,0.005071210861206099,True,10662451,7898112,9893314560,10351935488,9398648832,0.95,1.35,0.0003389738267287612,4096,2097152,524288,1.5466916872597447,2950080.2750773327,0.0001694869133643806,1.0,,,,,,,,,,,,,,True,moe_layer_logical_replay,3,10,dmoe_grouped,0,0.01887039989233017,0.019251200556755065,0.005657599866390228,0.5138432025909424,0.08058879971504211,0.008089599758386612,0.5657120026648045,Independent diagnostic timings. expert_block is the whole MegaBlocks expert path; gate_multiply_combine is the weighted scatter/combine subset and is not additive with expert_block.,982,1081,1024.0,36.55817413330078,1.0556640625,False,,,,,,,,,,nano_moe_jax_megablocks_dmoe_cuda_tok2048_t128_bfloat16_trained_nano_checkpoint
nano_moe_jax,exact_adapter,megablocks_moe,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,16,128,2048,128,512,4,2,0,0,ffn,gelu_tanh,matched_expert_biases,0.043212890625,0.5681495904922486,0.003962397575378418,True,10662451,7898112,9893314560,10351935488,9398648832,0.95,1.35,0.00027741679223254324,4096,2097152,524288,1.889892806346482,3604684.460347141,0.00013870839611627162,1.0556640625,,,,,,,,,,,,,,True,moe_layer_logical_replay,3,10,standard_moe_binned,1081,0.017510400712490083,0.018960000574588777,0.006348799914121628,0.39239680767059326,0.0839680016040802,0.008191999793052674,0.4434080086648464,Independent diagnostic timings. expert_block is the whole MegaBlocks expert path; gate_multiply_combine is the weighted scatter/combine subset and is not additive with expert_block.,982,1081,1024.0,36.55817413330078,1.0556640625,False,,,,,,,,,,nano_moe_jax_megablocks_moe_cuda_tok2048_t128_bfloat16_trained_nano_checkpoint
nano_moe_jax,exact_adapter,reference_dense_ffn,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,16,128,2048,128,512,4,2,0,0,ffn,gelu_tanh,nano_expert_biases,0.043212890625,0.3319808006286621,0.0002048015594482422,True,19155916,14189568,9893314560,10351935488,9398648832,0.95,1.35,0.0001621000003069639,4096,2097152,524288,3.2343491610559623,6169031.450378346,8.105000015348195e-05,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,nano_moe_jax_reference_cuda_tok2048_t128_bfloat16_trained_nano_checkpoint
nano_moe_jax,exact_adapter,megablocks_dmoe,moe_layer,trained_nano_checkpoint,results/trained_nano_moe_checkpoint,0,cuda,bfloat16,32,128,4096,128,512,4,2,0,0,ffn,gelu_tanh,matched_expert_biases,0.043212890625,0.716262412071228,0.003712010383605968,True,19907942,14746624,9893314560,10351935488,9398648832,0.95,1.35,0.00017486875294707714,8192,4194304,524288,2.998180013090573,5718574.548894068,8.743437647353857e-05,1.0,,,,,,,,,,,,,,True,moe_layer_logical_replay,3,10,dmoe_grouped,0,0.018432000279426576,0.030720001459121703,0.005708799883723259,0.5420832157135009,0.08171520233154297,0.007891199737787246,0.6048352170735598,Independent diagnostic timings. expert_block is the whole MegaBlocks expert path; gate_multiply_combine is the weighted scatter/combine subset and is not additive with expert_block.,1994,2093,2048.0,41.358192443847656,1.02197265625,False,,,,,,,,,,nano_moe_jax_megablocks_dmoe_cuda_tok4096_t128_bfloat16_trained_nano_checkpoint
