model_shape_name,simulation_level,backend_variant,timing_scope,device,dtype,batch_size,seq_len,tokens,d_model,d_ff,n_experts,top_k,num_shared_experts,shared_expert_intermediate_size,expert_type,activation,mean_forward_ms,std_forward_ms,memory_preflight_enabled,memory_preflight_estimated_bytes,memory_preflight_base_estimated_bytes,memory_preflight_cuda_free_bytes,memory_preflight_cuda_total_bytes,memory_preflight_allowed_bytes,memory_preflight_fraction,memory_preflight_safety_multiplier,ms_per_input_token,assignments,router_flops,active_expert_flops_per_token,active_expert_tflops_per_second,tokens_per_second,ms_per_assignment,padding_factor,phase_profile,phase_path,phase_profile_warmup,phase_profile_iters,phase_sort_ms,phase_histogram_ms,phase_cumsum_ms,phase_capacity_decision_wall_ms,phase_gather_ms,phase_expert_mlp_ms,phase_scatter_ms,phase_gpu_sum_ms,phase_expert_capacity,tokens_per_expert_min,tokens_per_expert_max,tokens_per_expert_mean,tokens_per_expert_std,expert_imbalance,check_output,max_abs_vs_reference,router_expert_set_mismatch_count,outlier_diagnosis,label
olmoe_1b_7b_0924,level1_shape_expert,megablocks_dmoe,megablocks_core,cuda,bfloat16,1,4096,4096,2048,1024,64,8,0,0,glu,silu,11.622195434570312,0.0,True,2380824576,1763573760,9842786304,10351935488,8858507673,0.9,1.35,0.0028374500572681425,32768,1073741824,100663296,35.476675877395785,352429.11058064085,0.0003546812571585178,1.0,,,,,,,,,,,,,,453,570,512.0,24.42654800415039,1.11328125,False,,,,olmoe_1b_7b_0924_megablocks_dmoe_cuda_tok4096_t4096_bfloat16_synthetic
olmoe_1b_7b_0924,level1_shape_expert,megablocks_moe,megablocks_core,cuda,bfloat16,1,4096,4096,2048,1024,64,8,0,0,glu,silu,10.545868682861329,0.0,True,2380824576,1763573760,9842786304,10351935488,8858507673,0.9,1.35,0.0025746749714016916,32768,1073741824,100663296,39.09747720318942,388398.540051673,0.00032183437142521145,1.11328125,,,,,,,,,,,,,,453,570,512.0,24.42654800415039,1.11328125,False,,,,olmoe_1b_7b_0924_megablocks_moe_cuda_tok4096_t4096_bfloat16_synthetic
olmoe_1b_7b_0924,level1_shape_expert,reference_dense_glu,adapter_boundary,cuda,bfloat16,1,4096,4096,2048,1024,64,8,0,0,glu,silu,62.58646850585937,0.0,True,6185897164,4582146048,9842786304,10351935488,8858507673,0.9,1.35,0.015279899537563323,32768,1073741824,100663296,6.58795535615496,65445.45646662474,0.0019099874421954154,8.0,,,,,,,,,,,,,,,,,,,False,,,,olmoe_1b_7b_0924_reference_cuda_tok4096_t4096_bfloat16_synthetic
olmoe_1b_7b_0924,level1_shape_expert,megablocks_dmoe,megablocks_core,cuda,bfloat16,2,4096,8192,2048,1024,64,8,0,0,glu,silu,25.440562438964843,0.0,True,2948471193,2184052736,9842786304,10351935488,8858507673,0.9,1.35,0.0031055374071002006,65536,2147483648,100663296,32.41413089079306,322005.4595747894,0.00038819217588752507,1.0,,,,,,,,,,,,,,937,1095,1024.0,39.969520568847656,1.0693359375,False,,,,olmoe_1b_7b_0924_megablocks_dmoe_cuda_tok8192_t4096_bfloat16_synthetic
olmoe_1b_7b_0924,level1_shape_expert,megablocks_moe,megablocks_core,cuda,bfloat16,2,4096,8192,2048,1024,64,8,0,0,glu,silu,19.475132751464844,0.0,True,2948471193,2184052736,9842786304,10351935488,8858507673,0.9,1.35,0.0023773355409502984,65536,2147483648,100663296,42.342906277235734,420638.9812353823,0.0002971669426187873,1.0693359375,,,,,,,,,,,,,,937,1095,1024.0,39.969520568847656,1.0693359375,False,,,,olmoe_1b_7b_0924_megablocks_moe_cuda_tok8192_t4096_bfloat16_synthetic
olmoe_1b_7b_0924,level1_shape_expert,megablocks_dmoe,megablocks_core,cuda,bfloat16,4,4096,16384,2048,1024,64,8,0,0,glu,silu,35.763613891601565,0.0,True,4083764428,3025010688,9842786304,10351935488,8858507673,0.9,1.35,0.002182837761938572,131072,4294967296,100663296,46.11579374117168,458119.2507462867,0.0002728547202423215,1.0,,,,,,,,,,,,,,1886,2192,2048.0,69.39425659179688,1.0703125,False,,,,olmoe_1b_7b_0924_megablocks_dmoe_cuda_tok16384_t4096_bfloat16_synthetic
olmoe_1b_7b_0924,level1_shape_expert,megablocks_moe,megablocks_core,cuda,bfloat16,4,4096,16384,2048,1024,64,8,0,0,glu,silu,38.7810302734375,0.0,True,4083764428,3025010688,9842786304,10351935488,8858507673,0.9,1.35,0.002367006242275238,131072,4294967296,100663296,42.52768505723896,422474.59349273605,0.00029587578028440477,1.0703125,,,,,,,,,,,,,,1886,2192,2048.0,69.39425659179688,1.0703125,False,,,,olmoe_1b_7b_0924_megablocks_moe_cuda_tok16384_t4096_bfloat16_synthetic
olmoe_1b_7b_0924,level1_shape_expert,megablocks_dmoe,megablocks_core,cuda,bfloat16,8,4096,32768,2048,1024,64,8,0,0,glu,silu,69.07945556640625,0.0,True,6354350899,4706926592,9842786304,10351935488,8858507673,0.9,1.35,0.002108137682080269,262144,8589934592,100663296,47.74986797857881,474352.3198224983,0.0002635172102600336,1.0,,,,,,,,,,,,,,3809,4346,4096.0,129.38665771484375,1.06103515625,False,,,,olmoe_1b_7b_0924_megablocks_dmoe_cuda_tok32768_t4096_bfloat16_synthetic
olmoe_1b_7b_0924,level1_shape_expert,megablocks_moe,megablocks_core,cuda,bfloat16,8,4096,32768,2048,1024,64,8,0,0,glu,silu,73.61597290039063,0.0,True,6354350899,4706926592,9842786304,10351935488,8858507673,0.9,1.35,0.002246581204235554,262144,8589934592,100663296,44.80732582032475,445120.7898092742,0.00028082265052944424,1.06103515625,,,,,,,,,,,,,,3809,4346,4096.0,129.38665771484375,1.06103515625,False,,,,olmoe_1b_7b_0924_megablocks_moe_cuda_tok32768_t4096_bfloat16_synthetic
olmoe_1b_7b_0924,level1_shape_expert,megablocks_dmoe,megablocks_core,cuda,bfloat16,12,4096,49152,2048,1024,64,8,0,0,glu,silu,105.40523681640624,0.0,True,8624937369,6388842496,9842786304,10351935488,8858507673,0.9,1.35,0.0021444750328858692,393216,12884901888,100663296,46.94076380294113,466314.5919933034,0.00026805937911073365,1.0,,,,,,,,,,,,,,5687,6538,6144.0,183.0642852783203,1.0641276041666667,False,,,,olmoe_1b_7b_0924_megablocks_dmoe_cuda_tok49152_t4096_bfloat16_synthetic
